int.effect,method,mode,strategy ,n ,power
0,linear,loocv,loocv,50,0.07
0,linear,loocv,average,50,0.03
0,linear,AICc,loocv,50,0.155
0,linear,AICc,average,50,0.105
0,linear,GCVc,loocv,50,0.135
0,linear,GCVc,average,50,0.09
0,linear,gmpml,loocv,50,0.135
0,linear,gmpml,average,50,0.06
0.1,linear,loocv,loocv,50,0.1
0.1,linear,loocv,average,50,0.08
0.1,linear,AICc,loocv,50,0.32
0.1,linear,AICc,average,50,0.285
0.1,linear,GCVc,loocv,50,0.255
0.1,linear,GCVc,average,50,0.135
0.1,linear,gmpml,loocv,50,0.345
0.1,linear,gmpml,average,50,0.07
0.2,linear,loocv,loocv,50,0.175
0.2,linear,loocv,average,50,0.235
0.2,linear,AICc,loocv,50,0.53
0.2,linear,AICc,average,50,0.485
0.2,linear,GCVc,loocv,50,0.42
0.2,linear,GCVc,average,50,0.38
0.2,linear,gmpml,loocv,50,0.49
0.2,linear,gmpml,average,50,0.145
0.3,linear,loocv,loocv,50,0.315
0.3,linear,loocv,average,50,0.45
0.3,linear,AICc,loocv,50,0.675
0.3,linear,AICc,average,50,0.625
0.3,linear,GCVc,loocv,50,0.55
0.3,linear,GCVc,average,50,0.485
0.3,linear,gmpml,loocv,50,0.575
0.3,linear,gmpml,average,50,0.315
0,rbf,loocv,loocv,50,0.015
0,rbf,loocv,average,50,0.015
0,rbf,AICc,loocv,50,0.035
0,rbf,AICc,average,50,0.06
0,rbf,GCVc,loocv,50,0.025
0,rbf,GCVc,average,50,0.015
0,rbf,gmpml,loocv,50,0.03
0,rbf,gmpml,average,50,0.02
0.1,rbf,loocv,loocv,50,0.07
0.1,rbf,loocv,average,50,0.045
0.1,rbf,AICc,loocv,50,0.135
0.1,rbf,AICc,average,50,0.09
0.1,rbf,GCVc,loocv,50,0.08
0.1,rbf,GCVc,average,50,0.125
0.1,rbf,gmpml,loocv,50,0.085
0.1,rbf,gmpml,average,50,0.05
0.2,rbf,loocv,loocv,50,0.075
0.2,rbf,loocv,average,50,0.09
0.2,rbf,AICc,loocv,50,0.15
0.2,rbf,AICc,average,50,0.11
0.2,rbf,GCVc,loocv,50,0.1
0.2,rbf,GCVc,average,50,0.15
0.2,rbf,gmpml,loocv,50,0.105
0.2,rbf,gmpml,average,50,0.075
0.3,rbf,loocv,loocv,50,0.11
0.3,rbf,loocv,average,50,0.09
0.3,rbf,AICc,loocv,50,0.105
0.3,rbf,AICc,average,50,0.08
0.3,rbf,GCVc,loocv,50,0.115
0.3,rbf,GCVc,average,50,0.115
0.3,rbf,gmpml,loocv,50,0.12
0.3,rbf,gmpml,average,50,0.155
0,polynomial,loocv,loocv,50,0.105
0,polynomial,loocv,average,50,0.035
0,polynomial,AICc,loocv,50,0.22
0,polynomial,AICc,average,50,0.215
0,polynomial,GCVc,loocv,50,0.14
0,polynomial,GCVc,average,50,0.06
0,polynomial,gmpml,loocv,50,0.2
0,polynomial,gmpml,average,50,0.06
0.1,polynomial,loocv,loocv,50,0.135
0.1,polynomial,loocv,average,50,0.08
0.1,polynomial,AICc,loocv,50,0.3
0.1,polynomial,AICc,average,50,0.245
0.1,polynomial,GCVc,loocv,50,0.27
0.1,polynomial,GCVc,average,50,0.13
0.1,polynomial,gmpml,loocv,50,0.29
0.1,polynomial,gmpml,average,50,0.055
0.2,polynomial,loocv,loocv,50,0.14
0.2,polynomial,loocv,average,50,0.155
0.2,polynomial,AICc,loocv,50,0.375
0.2,polynomial,AICc,average,50,0.445
0.2,polynomial,GCVc,loocv,50,0.33
0.2,polynomial,GCVc,average,50,0.165
0.2,polynomial,gmpml,loocv,50,0.355
0.2,polynomial,gmpml,average,50,0.095
0.3,polynomial,loocv,loocv,50,0.16
0.3,polynomial,loocv,average,50,0.26
0.3,polynomial,AICc,loocv,50,0.47
0.3,polynomial,AICc,average,50,0.455
0.3,polynomial,GCVc,loocv,50,0.44
0.3,polynomial,GCVc,average,50,0.275
0.3,polynomial,gmpml,loocv,50,0.435
0.3,polynomial,gmpml,average,50,0.115
0,linear,loocv,loocv,100,0.085
0,linear,loocv,average,100,0.12
0,linear,AICc,loocv,100,0.245
0,linear,AICc,average,100,0.17
0,linear,GCVc,loocv,100,0.25
0,linear,GCVc,average,100,0.12
0,linear,gmpml,loocv,100,0.16
0,linear,gmpml,average,100,0.1
0.1,linear,loocv,loocv,100,0.245
0.1,linear,loocv,average,100,0.34
0.1,linear,AICc,loocv,100,0.58
0.1,linear,AICc,average,100,0.49
0.1,linear,GCVc,loocv,100,0.45
0.1,linear,GCVc,average,100,0.445
0.1,linear,gmpml,loocv,100,0.52
0.1,linear,gmpml,average,100,0.295
0.2,linear,loocv,loocv,100,0.51
0.2,linear,loocv,average,100,0.71
0.2,linear,AICc,loocv,100,0.76
0.2,linear,AICc,average,100,0.77
0.2,linear,GCVc,loocv,100,0.72
0.2,linear,GCVc,average,100,0.72
0.2,linear,gmpml,loocv,100,0.705
0.2,linear,gmpml,average,100,0.69
0.3,linear,loocv,loocv,100,0.625
0.3,linear,loocv,average,100,0.795
0.3,linear,AICc,loocv,100,0.84
0.3,linear,AICc,average,100,0.88
0.3,linear,GCVc,loocv,100,0.875
0.3,linear,GCVc,average,100,0.825
0.3,linear,gmpml,loocv,100,0.8
0.3,linear,gmpml,average,100,0.815
0,rbf,loocv,loocv,100,0.02
0,rbf,loocv,average,100,0.03
0,rbf,AICc,loocv,100,0.055
0,rbf,AICc,average,100,0.07
0,rbf,GCVc,loocv,100,0.065
0,rbf,GCVc,average,100,0.015
0,rbf,gmpml,loocv,100,0.015
0,rbf,gmpml,average,100,0.045
0.1,rbf,loocv,loocv,100,0.175
0.1,rbf,loocv,average,100,0.24
0.1,rbf,AICc,loocv,100,0.235
0.1,rbf,AICc,average,100,0.28
0.1,rbf,GCVc,loocv,100,0.285
0.1,rbf,GCVc,average,100,0.26
0.1,rbf,gmpml,loocv,100,0.29
0.1,rbf,gmpml,average,100,0.29
0.2,rbf,loocv,loocv,100,0.325
0.2,rbf,loocv,average,100,0.44
0.2,rbf,AICc,loocv,100,0.365
0.2,rbf,AICc,average,100,0.445
0.2,rbf,GCVc,loocv,100,0.41
0.2,rbf,GCVc,average,100,0.505
0.2,rbf,gmpml,loocv,100,0.445
0.2,rbf,gmpml,average,100,0.475
0.3,rbf,loocv,loocv,100,0.405
0.3,rbf,loocv,average,100,0.495
0.3,rbf,AICc,loocv,100,0.485
0.3,rbf,AICc,average,100,0.55
0.3,rbf,GCVc,loocv,100,0.445
0.3,rbf,GCVc,average,100,0.555
0.3,rbf,gmpml,loocv,100,0.405
0.3,rbf,gmpml,average,100,0.485
0,polynomial,loocv,loocv,100,0.1
0,polynomial,loocv,average,100,0.09
0,polynomial,AICc,loocv,100,0.205
0,polynomial,AICc,average,100,0.205
0,polynomial,GCVc,loocv,100,0.26
