int.effect,method,n ,power
0,linear,50,0.05
0.1,linear,50,0.065
0.2,linear,50,0.155
0.3,linear,50,0.23
0,rbf,50,0.015
0.1,rbf,50,0.07
0.2,rbf,50,0.09
0.3,rbf,50,0.115
0,polynomial,50,0.085
0.1,polynomial,50,0.14
0.2,polynomial,50,0.13
0.3,polynomial,50,0.205
0,linear,100,0.085
0.1,linear,100,0.215
0.2,linear,100,0.42
0.3,linear,100,0.655
0,rbf,100,0.05
0.1,rbf,100,0.2
0.2,rbf,100,0.335
0.3,rbf,100,0.4
0,polynomial,100,0.09
0.1,polynomial,100,0.18
0.2,polynomial,100,0.205
0.3,polynomial,100,0.285
0,linear,200,0.05
0.1,linear,200,0.34
